,RoE,CFO2A,EPSg,EBITDA/EV
RoE,1.0,0.00031717959012907246,-0.00035320639948362354,0.061819036879487824
CFO2A,0.00031717959012907246,1.0,0.013895756507299076,0.3973413180706299
EPSg,-0.00035320639948362354,0.013895756507299076,1.0,0.021760404674942384
EBITDA/EV,0.061819036879487824,0.3973413180706299,0.021760404674942384,1.0
