,0
RoE,-0.010869046931636659
CFO2A,-0.009736914956382615
EPSg,-0.008411925555884221
EBITDA/EV,-0.02527235969018868
Accruals,-0.005729695875900443
CFOg,-0.0392448296707483
B/P,-0.014386037673882858
E/P,-0.041625753048574625
CFO/P,-0.009638796160603402
exFINg,-0.04477110686974573
CapXg,0.006117366599348142
P3m,-0.06200704058333291
P6m,-0.07436001962628522
P9m,-0.041130095731782924
P12m,-0.019441489965153106
