,0
RoE,-0.04732145649591928
CFO2A,-0.03988950898004969
EPSg,-0.011312318213054368
EBITDA/EV,-0.04385377333176303
Accruals,0.016215102324173745
CFOg,-0.05003192765481131
B/P,-0.01297177322358064
E/P,-0.07378977191341894
CFO/P,-0.02633730912221313
exFINg,-0.028612046064961903
CapXg,-0.007984579138185873
P3m,-0.045369318531731796
P6m,-0.06029507891110456
P9m,-0.08569766326914512
P12m,-0.04938341077821505
