,P3m,P6m,P9m,P12m
P3m,1.0,0.6683700792572737,0.5126067997277214,0.4386801707712909
P6m,0.6683700792572737,1.0,0.8035646080180409,0.7007351963241338
P9m,0.5126067997277214,0.8035646080180409,1.0,0.8870787890643366
P12m,0.4386801707712909,0.7007351963241338,0.8870787890643366,1.0
