,Company,Company,Profitability,Profitability,Profitability,Profitability,Earnings Quality,Earnings Quality,Value,Value,Value,Management Capability,Management Capability,Momentum,Momentum,Momentum,Momentum,Forward Returns,Forward Returns,Forward Returns,Forward Returns,Forward Returns
,date,Ticker,RoE,CFO2A,EPSg,EBITDA/EV,Accruals,CFOg,B/P,E/P,CGO/P,exFINg,CapXg,P3m,P6m,P9m,P12m,1m,3m,6m,9m,12m
0,2020-06,JPM,0.017722504972283767,0.026061936780974227,2.1601753391362064,0.016511446260122433,-0.024603227708936658,-4.391192080554179,0.9214771404204561,0.016330883202947365,0.2917747299796911,1.0009939666546008,-0.6683355280273728,1.0556195194698348,0.6861375644227858,0.8192180376540777,0.8541200763233492,-0.026697004848734718,-0.03238519221441705,,,
1,2020-03,JPM,0.01096600347543845,-0.038469391427937094,0.6743669195302673,0.018279960765241667,0.0393819771799412,3.4795445060700887,0.9548393920697148,0.010470772091922029,-0.44138781399148597,1.0155345415389139,-inf,0.6499856735951469,0.7760542719648788,0.809117357693722,0.8857440538326883,-0.0598371746419567,-0.05268884658594797,-0.08336770037612318,,
2,2019-12,JPM,0.032602456663988054,0.030916740809539704,2.238406227119869,0.026487451386480232,-0.027746365510782068,208.19748977074082,0.6115434880281488,0.019937820066581822,0.19442884744506464,0.9982013579311447,,1.1939559647098552,1.2448233715958676,1.3627131947901776,1.472570036487958,0.05318817219202576,0.538495677269138,0.4574341145563605,0.41023483061660393,
3,2019-09,JPM,0.034348661612722625,0.006400423053676383,2.1027784170661317,0.03194498950683711,-0.0031161144169212797,-3.5505132814961606,0.7248629620613708,0.02489807259944182,0.04852107870563029,1.000986860057385,,1.0426040895891615,1.14134292642973,1.2333537249389337,1.0682218723343493,-0.05787700134769347,-0.16244811317597785,0.28856995736736857,0.22067669256837763,0.18114484324789193
4,2019-06,JPM,0.03666964268753681,-0.00507960206483954,2.2902478133441972,0.03314953345629205,0.008618530831248609,-3.618363559484068,0.7403862596385132,0.027149699591706142,-0.03896932637209871,0.9982543244962053,,1.094704056723465,1.182955003969855,1.0245709593900427,1.122080527591014,-0.036206877345116406,-0.05672487726529396,-0.20995814115938582,0.21547598468795948,0.1514339570018315
5,2019-03,JPM,0.03532599283396899,-0.029548573207247724,2.4227499282997473,0.03376083902605158,0.03290201476844118,-185.76981965182688,0.7883722176997692,0.027850031312962282,-0.24539824954705183,1.0031961375461147,,1.0806162603530785,0.9359341943581208,1.0250081021435957,0.9953393670131088,-0.1277035716729874,-0.10141962054814302,-0.15239148228555088,-0.2900838867001506,0.09220287153552609
6,2018-12,JPM,0.0275461473987876,0.00016091319381422226,2.6086927015888968,0.029138519998310828,0.0025334295253594615,0.07600548942437345,0.831186972449405,0.02289599885904332,0.0013674089327082195,1.0013410508019047,,0.8661115223754965,0.948540328098234,0.9210849434080267,0.9250255600382473,-0.05681162909264614,-0.043429685556338304,-0.14044468387483244,-0.18920285368476342,-0.32091532027214087
7,2018-09,JPM,0.03236070992755526,0.005043241715780501,2.3255530851114754,0.03060445454138266,-0.0018388770499043468,0.8214439615143485,0.7167728221694433,0.02319527738218051,0.03650626651474686,1.0004247100340304,,1.0951711224169594,1.0634715271790331,1.0680213068880164,1.214185581497742,0.035039345854690485,0.147872321944313,0.09802058794344748,-0.013340243439825983,-0.0693083970333066
8,2018-06,JPM,0.03230041404811658,0.0137777262987201,2.195268634434635,0.03065811427627373,-0.010566977471477383,-15.670405114051086,0.7711325286802704,0.02490789996234388,0.10688292570421372,0.9986324207823496,,0.9710551213512939,0.97520952207996,1.1086720208784602,1.1648990803917174,-0.09351896303408547,-0.08155965695870826,0.05425224913413884,0.008466405457180803,-0.09381187471983632
9,2018-03,JPM,0.03400455111416427,-0.013452832321436441,3.489251418901618,0.028166655003310056,0.016791038342238922,0.40159226327663755,0.7355205873246193,0.025011047407200143,-0.10079348753666093,1.0030602807462783,,1.0042782336834648,1.141718936959688,1.1996219934154464,1.2626423558024653,0.01093963776526885,0.05004968462562087,-0.035592007442044604,0.10701724171915394,0.05893983100584621
10,2017-12,JPM,0.01655109838751941,0.004955004736343542,1.2890522604831358,0.019635829399858203,-0.0032846542469213763,-1.478918303442482,0.7296545230555438,0.012076583799990851,0.035824535213867,0.9998761047592372,,1.1368552047295917,1.194511593680075,1.257263488795709,1.2869296979306817,-0.07547343809788809,-0.03259263450747396,0.015825799039929755,-0.06702460465957272,0.07093663336632972
11,2017-09,JPM,0.026054446517172248,-0.0019098161036318108,2.0634031712106427,0.02596205501886165,0.004536349711323199,-2.56435084952045,0.8278749058466994,0.021569822457291846,-0.015683939531854364,1.000039449565313,,1.050715683677762,1.1059134739104768,1.1320084497803626,1.4775658311648039,-0.05069084463062268,-0.11207279771774037,-0.14101268449096993,-0.09802064025233437,-0.17158576741718923
12,2017-06,JPM,0.02719327770104804,0.00158904545692177,2.2878886373789395,0.025838233155263433,0.0011532576407220108,-2.6176329875703765,0.8687370077927526,0.02362380670208586,0.013688969227144071,0.9995994917638621,,1.052533517001963,1.0773689470571677,1.4062470505750537,1.5186837468693577,-0.00435734852098979,-0.04826715759037503,-0.15493051991907902,-0.18247356061677744,-0.14155662015254045
13,2017-03,JPM,0.02520098646541313,-0.00885955645272141,2.165884112062871,0.02295922287554878,0.011391868168983108,-1.0168208406278811,0.8891488539775042,0.022407428234824677,-0.07839472294500772,1.001737142277247,,1.023595856715277,1.3360591637790393,1.4428839769351738,1.5252384351496797,0.009655260611616923,-0.04991213386881743,-0.09577017462807436,-0.1971097409373299,-0.22327804970057052
