,Company,Company,Profitability,Profitability,Profitability,Profitability,Earnings Quality,Earnings Quality,Value,Value,Value,Management Capability,Management Capability,Momentum,Momentum,Momentum,Momentum,Forward Returns,Forward Returns,Forward Returns,Forward Returns,Forward Returns,Forward Returns
,date,Ticker,RoE,CFO2A,EPSg,EBITDA/EV,Accruals,CFOg,B/P,E/P,CGO/P,exFINg,CapXg,P3m,P6m,P9m,P12m,Date,1m,3m,6m,9m,12m
0,2020-09,TSLA,0.028132992327365727,0.0525267558162439,7.97179694631151,0.00849885244603844,-0.0426561029524414,7.389359115323625,0.04031006090796216,0.0011340426342393447,0.0060348166788789966,0.9252849780770477,-1.489354322278405,1.9865068765845786,4.093606848465453,5.127650539048121,8.905426371071533,2020-09,0.044251938241030686,,,,
1,2020-06,TSLA,0.010553018772196854,0.02527861544512915,6.0314366242146775,0.0037634579168724,-0.02255146191162974,-8.51293092453961,0.044089880932272785,0.0004652813411421989,0.0043128001236642285,0.9307660783507474,1.1494071150554697,2.060706105132459,2.581239762866637,4.482957736538382,4.753312838548789,2020-06,-0.24528921854538555,-0.49660380713909713,,,
2,2020-03,TSLA,0.0017442494276681565,-0.011812080536912751,0.13387019697603575,0.0067187824471298474,0.012241610738255033,1.4835692437646466,0.08796846577749558,0.0001534389460852425,-0.004219571017344168,0.9338859576646303,0.9866895263150026,1.2525996581646073,2.175447399011915,2.306642770024333,1.81202027823536,2020-03,-0.32982044363051755,-0.5147294416293149,-0.7557166484087126,,
3,2019-12,TSLA,0.01586582048957389,0.04153429129382961,0.8944298234620814,0.010842882508756781,-0.03847386983007374,5.834354434537882,0.08788914652706395,0.001394433421780253,0.018924453581303433,0.989311960573516,1.0478182741545587,1.7367459625524138,1.8414844319885733,1.4466076742272573,1.2570012396935468,2019-12,-0.3569792536803911,-0.2016603250966451,-0.6125892601901777,-0.8049789085063097,
4,2019-09,TSLA,0.023675496688741717,0.02305229455709712,-0.24730234200654766,0.0169215030344913,-0.018691873761244093,-1.0969920339255357,0.13628134245245047,0.003226528471970267,0.017057730942723934,0.9940848431127782,1.4570616973080983,1.0603073055556325,0.8329414349702855,0.723768050593992,0.7752494492315649,2019-09,-0.23513910041610142,-0.42421055655204554,-0.5403244429049763,-0.7769329857391422,-0.8877089142682354
5,2019-06,TSLA,-0.07144460582150694,0.027095564255400967,0.2234330377876783,0.0075028785445770615,-0.039907008518948114,-12.327558428405819,0.14242022383418707,-0.010175156752844283,0.021519947941383375,0.9761797619491149,0.8120556810110398,0.7855660624103683,0.6826021539243436,0.7311554350041106,0.6623997762005993,2019-06,-0.07512100821310141,-0.07227962093752038,-0.46582839926428954,-0.5735496179260482,-0.7930561849735814
6,2019-03,TSLA,-0.15245258159855968,-0.022122108744293652,-4.037214924741477,-0.002809877774920773,-0.002162695999837299,10.250779098860443,0.4603298203393506,-0.07017846949753515,-0.063928689157271,1.0075190164439245,0.887051763346735,0.8689302995471846,0.9307370442667693,0.8432133309936336,1.145358073722991,2019-03,0.17248316516477646,0.2523941296068366,0.1618715566544786,-0.3310066230359092,-0.4659160449219901
7,2018-12,TSLA,0.0283363802559415,0.04151311365164762,0.2618747190464073,0.0422074699796007,-0.036822461331540025,0.5545954700272442,0.4300194393523843,0.012185194350935935,0.1078411537323692,0.9864254689819648,0.62216150836882,1.071129692164945,0.9704038763903703,1.318124220458025,1.0382802683860979,2018-12,0.08396844320167696,0.18916596536539498,0.4893044741518675,0.38165811129961735,-0.20445584505944137
8,2018-09,TSLA,0.06908405411399424,0.047541263711854555,-0.8863134580423276,0.050597222886589584,-0.036896422102996956,-12.080729930768385,0.40719392839112056,0.02813060738386206,0.1256349951602854,0.9835643016655865,0.7881615068754949,0.9059630066168833,1.2305925511166251,0.969331982840983,0.9108765477737241,2018-09,-0.21507765609844387,-0.20441705967525559,-0.053919844740485834,0.18486523258454013,0.0992236227112826
