,Company,Company,Profitability,Profitability,Profitability,Profitability,Earnings Quality,Earnings Quality,Value,Value,Value,Management Capability,Management Capability,Momentum,Momentum,Momentum,Momentum,Forward Returns,Forward Returns,Forward Returns,Forward Returns,Forward Returns
,date,Ticker,RoE,CFO2A,EPSg,EBITDA/EV,Accruals,CFOg,B/P,E/P,CGO/P,exFINg,CapXg,P3m,P6m,P9m,P12m,1m,3m,6m,9m,12m
0,2020-08,NKE,0.164570685169124,0.026519935053220277,-0.7629059257752997,0.01039119565607892,0.019123218473750675,-879.0834812736784,0.05174048176344142,0.00851496653479012,0.004947431148672521,0.9726197653641877,0.5739121279142767,1.126560602094241,1.2577492145390372,1.2057917554836637,1.3375571441379517,-0.11070036249043513,-0.07026419383134741,,,
1,2020-05,NKE,-0.09807572936064557,-3.1906068534235215e-05,-1.779496522826432,-0.003561617941251862,-0.02517388807351158,-0.0017854986992908231,0.05212848060991371,-0.005112538756279556,-6.471568045923491e-06,1.1342865399025095,0.8791664974678185,1.1164505595179885,1.0703301298147074,1.1872926690774332,1.3039339893264363,0.0029036427170341383,-0.12114838085292046,-0.18290018136966435,,
2,2020-02,NKE,0.09364289662797126,0.045003813882532426,1.5389785884002267,0.007377010062771969,-0.012700228832951951,3.898093238965238,0.06388184129866584,0.005982080661135431,0.008333949445265417,1.0100993050911915,1.1722961495811142,0.9586901280042415,1.0634529751053463,1.1679281077071528,1.056540514348015,0.07726265307232283,-0.09583383519549138,-0.2053721020835524,-0.2612059907265498,
3,2019-11,NKE,0.1192385841086515,0.03428313660627019,2.155365966136203,0.009411847986985128,0.007631005187579885,3.6024884126612524,0.06320359935201954,0.007536307697305291,0.0061642265649707855,0.9984213014289725,0.8269078042421885,1.1092770688263949,1.2182540255614125,1.1020667507523774,1.2577230438931297,-0.07959049518604533,0.04326119808338036,-0.05671852363959329,-0.17099554718920884,-0.22924487674855643
4,2019-08,NKE,0.14858695652173912,0.01501009562269039,2.6712901412113883,0.012845227748175097,0.03706807878395367,1.1840812579817221,0.06884430752284477,0.010229366128666175,0.002948332300434874,1.0495632296454032,0.9399455231296443,1.0982414220915195,0.9934999845605337,1.1338222696911866,1.0392402405648133,-0.10261637009461377,-0.0984888977110896,-0.059488447340602435,-0.14962127647761891,-0.25264328194412866
5,2019-05,NKE,0.10940265486725664,0.08474933591938273,1.7863256109303884,0.012070863585583541,-0.04304928953914914,4.8568821163732805,0.07383059087024102,0.008077262651622608,0.016415872527564653,1.0160748072453683,1.2214697146444422,0.904628039496531,1.032398020038168,0.9462766743815372,1.089042731303357,-0.083670223634292,-0.08963444664081133,-0.17929534650530388,-0.14379067992251793,-0.22584450279566703
6,2019-02,NKE,0.12286575159022432,0.04659482570568473,0.10271155396706155,0.010242842718907566,0.0014397277605689152,3.016546859005812,0.06611917926147236,0.008123782654489573,0.007880290531330485,0.9902059200685657,0.7446014769408694,1.1412403495836223,1.046039513553201,1.2038569265545445,1.2934274680405904,0.01805006896317618,0.10850395611561225,0.009143817410039112,-0.09024564479863673,-0.05088858143105268
7,2018-11,NKE,0.09703287890938253,0.06720465670062177,1.9137680326400834,0.010374003348014723,-0.02985403713013185,3.875268874825403,0.07300085044343249,0.007083482681359529,0.012745251011088456,1.0250297181195507,0.8295764925893625,0.9165812564678817,1.0548671250484334,1.1333523814790576,1.2615171541177579,0.010220101569220263,-0.12635352924967835,-0.031559430926826115,-0.11836506544021241,-0.20519631832859453
8,2018-08,NKE,0.12144128113879005,0.057865943157052,2.1430840235877753,0.011782118928851188,-0.009295912467197437,4.486751677382534,0.06836617402710261,0.008302475760408814,0.009891502714552993,1.0627792226347048,1.146028554908153,1.1508713685826908,1.2364996267177888,1.3763287708709142,1.574659172938067,-0.0321289099770139,0.09156033853939527,-0.046362162624031145,0.05711131543279824,-0.03764227236376083
9,2018-05,NKE,0.11587851610273135,0.10072772452964146,-0.06772479582663649,0.014878783066662439,-0.05027511537096201,6.770601939665633,0.08559381858330659,0.009918484684999956,0.019802075844283114,0.9971052250446097,1.3052738806315693,1.0744029788842084,1.1959014781694295,1.3682321203952401,1.3729349550087155,-0.09889567110030573,-0.1289537812303525,-0.049200494556343566,-0.16933736767799834,-0.07920718587365294
10,2018-02,NKE,-0.09415252504600287,0.034897126640652726,-2.0661429112139986,-0.00827194307150614,-0.07573607662291595,2.199725188463959,0.09252788886295357,-0.008711734373623005,0.007444229046733231,1.1076741550607334,1.0760025173789387,1.1130846634578397,1.273481316866954,1.2778584776770996,1.1883266948270768,0.008880100843646765,-0.06924989470834297,-0.1892736401662508,-0.11504326019706124,-0.22686066750445189
11,2017-11,NKE,0.06523218234393605,0.05499896071502805,1.7436214204680462,0.011062156200116335,-0.02311369777593015,6.075643010162177,0.12103836318538816,0.007895596577920796,0.01361913203727407,1.0372772417423217,0.8301217118178249,1.144101036223818,1.1480334961290222,1.0675977612839394,1.2231668548960555,-0.03405278193801331,-0.10159639226341666,-0.16381074750477043,-0.27164051343821227,-0.20495167227023492
12,2017-08,NKE,0.07921287417660301,0.024315980885524592,1.7187064859505137,0.012145929167999638,0.01585824840360299,2.498487958920413,0.13990021072998549,0.01108189778983459,0.006707464451741986,1.0562828194039835,0.8072031602613053,1.0034371613875845,0.9331324135564261,1.0691073744091688,0.9338381439532334,0.015026890765627687,-0.12894486598082577,-0.2174409250597008,-0.27163305860237474,-0.3655587298187851
