,Company,Company,Profitability,Profitability,Profitability,Profitability,Earnings Quality,Earnings Quality,Value,Value,Value,Management Capability,Management Capability,Momentum,Momentum,Momentum,Momentum,Forward Returns,Forward Returns,Forward Returns,Forward Returns,Forward Returns,Forward Returns
,date,Ticker,RoE,CFO2A,EPSg,EBITDA/EV,Accruals,CFOg,B/P,E/P,CGO/P,exFINg,CapXg,P3m,P6m,P9m,P12m,Date,1m,3m,6m,9m,12m
0,2020-08,TGT,0.13436158371760215,0.07983333333333334,7.810718751654409,0.03812672977376122,-0.044625000000000005,6.257934453751253,0.19907711181050855,0.02674831602478609,0.06065061953075757,0.9829937593523007,0.824078395472703,1.169242200356763,1.14924385815379,1.1873680618420865,1.5825008811969623,2020-08,-0.04417352602974778,-0.024530296387510142,,,
1,2020-05,TGT,0.025427522607216403,0.028656876311208324,0.7116103397413676,0.012674910906394435,-0.022318439494710532,6.907363751958092,0.20612219869343507,0.0052411768671264715,0.023696024990811228,1.0377845187423962,1.149078770643126,0.9828963219110025,1.0155022299740746,1.3534414689395442,1.4659785378242798,2020-05,0.014634633455867796,-0.19525739550731047,-0.21499797011117305,,
2,2020-02,TGT,0.07048085861573565,0.06914607634587064,2.2444709545002213,0.028157776691601712,-0.0496505294653919,4.6675454325405035,0.21204201076021545,0.014944902980987045,0.05300602280306915,0.9827898934821689,0.6323412344603471,1.0331732933944424,1.3769931159250925,1.4914884766015215,1.6055602530146393,2020-02,0.10161491970585068,-0.1627798852477258,-0.3262533043205864,-0.342780510455708,
3,2019-11,TGT,0.06184495452576873,0.030794906380741175,1.9475952092571571,0.025931191994442424,-0.014471548432820464,2.896356468141147,0.21258155568475065,0.01314709664434058,0.024802715938272768,1.0290975285191144,1.297466799201438,1.3327804006635193,1.4435995259820413,1.554008667548545,1.3211253318639482,2019-11,-0.030706904642970878,0.20653461893593938,0.010135052118138477,-0.18710128726909048,-0.20704193362540524
4,2019-08,TGT,0.07924974653599189,0.059880671702834044,2.406880860852156,0.038922695590004205,-0.037314150988788916,10.367598627739428,0.28973427662415846,0.022961367985253524,0.060928406093066115,0.984769171812693,1.1025394360408338,1.0831488257655584,1.165990036149157,0.9912550718829835,1.0353534098355939,2019-08,-0.006416313359289272,-0.15027571259123673,0.02522176930934461,-0.14166371265230082,-0.309260220589227
5,2019-05,TGT,0.0715120985877485,0.007951943671680738,2.1583203641152116,0.03693888315385617,0.011620177749329129,1.0134195692181291,0.2928322918119068,0.020941051721729415,0.008508125416501384,0.9998784464071022,1.035490175230378,1.0764818355640533,0.9151605470119719,0.9558736391592509,1.105190405613865,2019-05,-0.079417148281826,-0.2551225325660359,-0.36705952477783066,-0.23633540491868754,-0.3606446400737745
6,2019-02,TGT,0.07063822253695673,0.0568902882053766,2.064751472883115,0.03927010322342984,-0.03756357471542746,4.489209014794395,0.31746052549923925,0.022424847246914483,0.06600998268546632,0.9741056784751113,0.667194768137592,0.8501402594800381,0.8879607695919864,1.026668884788724,1.008186033249077,2019-02,-0.10289360703376638,-0.10501223681775329,-0.33334378157641964,-0.43352601985340233,-0.3165295322267
7,2018-11,TGT,0.056137184115523465,0.02065546681354998,2.127916873268073,0.028315535431196626,-0.006380244193518769,1.6269411664958742,0.2612136669706427,0.014663799716222002,0.021217716631189383,1.034560591322928,0.9072242344630345,1.044487376865413,1.207646471673573,1.1859055279486503,1.4505332415381627,2018-11,0.06485399551723647,-0.031164783622731562,-0.1329043368023205,-0.35411997837433906,-0.4511800588725786
8,2018-08,TGT,0.07155010298200054,0.05525552555255524,2.349499228231892,0.03464078079372808,-0.03527852785278526,7.443788765865213,0.272514191773813,0.01949841848547296,0.053931795810882664,1.0104032809748154,1.2110624907714467,1.156209733522882,1.1353947919482226,1.3887513374180973,1.5082672590499904,2018-08,-0.015785548042996145,0.22347198706890037,0.1853427473234246,0.060867254031290896,-0.20978388653354818
9,2018-05,TGT,0.06434844954292884,0.013203524364869377,1.753040104951018,0.03641881480950294,0.005240309280998742,2.6854971294247125,0.3119199199418584,0.020071563229813082,0.01436877924808346,1.0034614728165565,1.7689855063541196,0.9819972614213877,1.2011240669862544,1.3044927882196737,1.3248114124282466,2018-05,-0.05057708984239229,-0.17405617396049244,0.010519134051846457,-0.020973476107509437,-0.12378324128536944
10,2018-02,TGT,0.09329671272852116,0.060541398903307446,3.664238594154912,0.045710554254321384,-0.0335707019328586,3.6172401114874306,0.31690920570568665,0.029566587125747255,0.06636842004307571,0.9786588381250502,0.577853023395064,1.2231440088210557,1.3284077659559776,1.3490988870077438,1.1937418005176754,2018-02,0.07723435208775209,0.02609932734515641,-0.15249959567597637,0.0368930037200097,0.004578457619151433
11,2017-10,TGT,0.0429199964083685,0.038542792571484706,1.5424889396649406,0.037080279354868365,-0.026800628869018364,3.8434309317891993,0.3691726754489079,0.01584488990433492,0.052009690920296,1.0333224078623349,1.0830488635667508,1.086059986702941,1.1029763276264515,0.9759617771159097,0.9108810793548888,2017-10,-0.014357139625519988,-0.2231590704126578,-0.2017165448276742,-0.28777286747160313,-0.3182551835690358
12,2017-07,TGT,0.060461344386375925,0.04338168388374459,2.0443854961184167,0.04442673448725768,-0.02542418241181824,3.8430787020248065,0.39664441540817674,0.023981654598926518,0.05793481684777927,0.982827761054838,1.522450924224373,1.0155758808266797,0.8986260326915576,0.8387023649772238,0.7724470777919503,2017-07,0.03924425830810496,-0.050836281582906984,-0.2626507746542871,-0.24229830733779045,-0.3239798465318031
